Nombre Local;Empresa Farmacéutica;Empresa RUT;Empresa Razón Social      ;Número;Tipo                         ;Dirección                                      ;Región;Comuna;Nro Resolución Apertura;Fecha Res.;Latitud;Longitud;Tipo Recetario;Alopática;Homeopática
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;11;FARMACIA PRIVADA;EYZAGUIRRE  523;METROPOLITANA;SAN BERNARDO;23632;29/04/2011;-33,59314;-70,705474;SIN RECETARIO;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;12;FARMACIA PRIVADA;SAN ANTONIO 380;METROPOLITANA;SANTIAGO;299;04/06/1999;-33,438483;-70,648308;INDEPENDIENTE;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;3;FARMACIA PRIVADA;PROVIDENCIA 2592;METROPOLITANA;PROVIDENCIA;2140;18/05/2021;-33,4185616;-70,60319111;SIN RECETARIO;SI;NO
GALENICA;FARMACIAS GALENICA S.A.;78.925.440-0;FARMACIAS GALENICA S.A.;2;FARMACIA PRIVADA;GERóNIMO DE ALDERETE N° 1554, LOCAL 1;METROPOLITANA;VITACURA;2;04/01/2019;-33,388055;-70,564917;SIN RECETARIO;SI;NO
CENTRAL DE HOMEOPATIA SAN ANTONIO;TANIA MAGDALENA OJEDA CONTRERAS;7.154.576-8;TANIA MAGDALENA OJEDA CONTRERAS;0001;FARMACIA PRIVADA;PEDRO MONTT Nº 129 L - 3;VALPARAISO;SAN ANTONIO;2513;07/06/2005;-33,58003444;-71,61147276;INDEPENDIENTE;NO;SI
HOSPITAL 1;CHAHUAN ISSA MOISES  Y CIA. LTDA.;85.548.200-1;CHAHUAN ISSA MOISES  Y CIA. LTDA.;0001;FARMACIA PRIVADA;CARRERA N° 737;VALPARAISO;LA CALERA;1177;30/05/1983;-32,78728091;-71,19132384;SIN RECETARIO;SI;SI
SAN NICOLAS;CLAUDIA PINO FLORES;9.455.835-2;CLAUDIA PINO FLORES;0001;FARMACIA PRIVADA;J.J. PEREZ N° 396;VALPARAISO;LA CALERA;269;24/01/2007;-32,78625824;-71,18998562;SIN RECETARIO;SI;NO
FAMIFARMA;CLAUDIO ULLOA Y CIA LTDA;89.041.100-2;CLAUDIO ULLOA Y CIA LTDA;0001;FARMACIA PRIVADA;CHACABUCO Nº 208;VALPARAISO;CASABLANCA;1825;26/12/1991;-33,32009903;-71,40686245;SIN RECETARIO;SI;NO
DR. SIMI;COMERCIAL FARMACEUTICA LOS ANDES LTDA.;76.628.550-3;COMERCIAL FARMACEUTICA LOS ANDES LTDA.;0022;FARMACIA PRIVADA;"O""HIGGINS N°293";VALPARAISO;LOS ANDES;150;29/11/2006;-32,83444382;-70,59752218;SIN RECETARIO;SI;NO
DR SIMI;COMERCIAL FARMACEUTICA LOS ANDES LTDA.;76.628.550-3;COMERCIAL FARMACEUTICA LOS ANDES LTDA.;0168;FARMACIA PRIVADA;ESMERALDA N°286;VALPARAISO;LOS ANDES;467;13/09/2016;-32,83348362;-70,59714176;SIN RECETARIO;SI;NO
NUEVA MODERNA;COMERCIAL GONZALEZ GARCIA LTDA.;78.122.820-6;COMERCIAL GONZALEZ GARCIA LTDA.;0001;FARMACIA PRIVADA;PORTUS Nº1194, LOCAL 2;VALPARAISO;SAN FELIPE;380;06/04/1990;-32,75049465;-70,72395893;INDEPENDIENTE;SI;NO
CRUZ VERDE;COMERCIAL SAN FRANCISCO LTDA;77.668.710-3;COMERCIAL SAN FRANCISCO LTDA;697;FARMACIA PRIVADA;WALKER MARTINEZ 1786;METROPOLITANA;LA FLORIDA;418;12/03/1993;-33,522345;-70,579265;SIN RECETARIO;SI;NO
CRUZ VERDE;COMERCIAL SAN FRANCISCO LTDA;77.668.710-3;COMERCIAL SAN FRANCISCO LTDA;677;FARMACIA PRIVADA;ALFREDO SILVA CARVALLO 1401. INTERIOR MONTSERRAT;METROPOLITANA;MAIPU;145;09/04/1996;-33,531915;-70,775603;SIN RECETARIO;SI;NO
CRUZ VERDE;COMERCIAL SAN FRANCISCO LTDA;77.668.710-3;COMERCIAL SAN FRANCISCO LTDA;9054;FARMACIA PRIVADA;CENTRAL 129 (EX 145);METROPOLITANA;MAIPU;302;15/06/2020;-33,513669;-70,826522;CENTRALIZADO;SI;NO
CRUZ VERDE;COMERCIAL SAN FRANCISCO LTDA;77.668.710-3;COMERCIAL SAN FRANCISCO LTDA;676;FARMACIA PRIVADA;AV. WALKER MARTINEZ 1642. INTERIOR MONTSERRAT;METROPOLITANA;QUINTA NORMAL;1122;12/06/2002;-33,430501;-70,692356;SIN RECETARIO;SI;NO
CRUZ VERDE;COMERCIAL SAN FRANCISCO LTDA;77.668.710-3;COMERCIAL SAN FRANCISCO LTDA;685;FARMACIA PRIVADA;AV. DOMINGO SANTA MARIA 4112. INTERIOR MONTSERRAT;METROPOLITANA;RENCA;314;02/07/1996;-33,405687;-70,704351;SIN RECETARIO;SI;NO
LIGA CONTRA LA EPILEPSIA;FARMACIAS LIGA CONTRA LA EPILEPSIA SPA.;76.198.286-9;FARMACIAS LIGA CONTRA LA EPILEPSIA SPA.;0001;FARMACIA PRIVADA;ARLEGUI N° 646 OF. 201;VALPARAISO;VIÑA DEL MAR;270;14/01/2010;-33,02387938;-71,55313224;SIN RECETARIO;NO;NO
CONAC;HOSPICE-CONAC;70.095.900-7;CORPORACION NACIONAL DEL CANCER;0001;FARMACIA ASISTENCIAL PRIVADA;BLAS CUEVAS N° 965;VALPARAISO;VALPARAISO;1843;20/12/2001;-33,05242901;-71,60959925;SIN RECETARIO;NO;SI
POLICLINICO CONAC;HOSPICE-CONAC;70.095.900-7;CORPORACION NACIONAL DEL CANCER;1;FARMACIA PRIVADA;EDUARDO LEFORT N°1638;ANTOFAGASTA;ANTOFAGASTA;4257;04/10/1999;-23,660025;-70,3949386;SIN RECETARIO;SI;NO
FARMACIA CONAC CONCEPCIÓN;HOSPICE-CONAC;70.095.900-7;CORPORACION NACIONAL DEL CANCER;;FARMACIA PRIVADA;CAUPOLICAN N° 518 OFICINA 301;BIOBIO;CONCEPCION;4105;24/07/2018;-36,82646;-73,05121;SIN RECETARIO;SI;NO
SAN IGNACIO;DARIO VILLALONGA CHIARLEONI;8.310.976-9;DARIO VILLALONGA CHIARLEONI;0001;FARMACIA PRIVADA;LA CONCEPCION N° 990;VALPARAISO;QUILLOTA;1400;06/04/1999;-32,88006073;-71,25649835;SIN RECETARIO;SI;NO
LA CRUZ;ELSA ESTUPIÑAN QUINTERO;14.712.650-6;ELSA ESTUPIÑAN QUINTERO;0001;FARMACIA PRIVADA;21 DE MAYO N° 5481;VALPARAISO;LA CRUZ;3763;07/12/2005;-32,8252325;-71,2268392;SIN RECETARIO;SI;NO
FARMACIA EL MELON;EMANUEL IBACACHE E.I.R.L.;76.062.957-K;EMANUEL IBACACHE E.I.R.L.;0001;FARMACIA PRIVADA;ISABEL BROWN N° 123;VALPARAISO;NOGALES;691;15/07/2010;-32,68923948;-71,21480683;SIN RECETARIO;SI;NO
CRUZ VERDE;ERNESTO MUÑOZ Y CIA.  LTDA.;81.168.700-6;ERNESTO MUÑOZ Y CIA.  LTDA.;0545;FARMACIA PRIVADA;AV. PEDRO MONTT Nº 2498;VALPARAISO;VALPARAISO;1443;30/08/1995;-33,04748162;-71,60990289;SIN RECETARIO;SI;NO
SAN JOSE PAPUDO;EUGENIA ABALLAY GALLARDO;5.952.955-2;EUGENIA ABALLAY GALLARDO;0001;FARMACIA PRIVADA;CHORRILLOS N°93;VALPARAISO;PAPUDO;462;16/12/2011;-32,50720439;-71,44711101;SIN RECETARIO;SI;NO
VILLANELO;FARMACEUTICA CEA LTDA.;76.425.700-6;FARMACIAS CEA Y CIA LTDA;0001;FARMACIA PRIVADA;VILLANELO N° 255;VALPARAISO;VIÑA DEL MAR;2063;11/06/1981;-33,02507834;-71,55710572;INDEPENDIENTE;NO;SI
VIÑAMARINA;FARMACEUTICA CEA LTDA.;76.425.700-6;FARMACIAS CEA Y CIA LTDA;0004;FARMACIA PRIVADA;ARLEGUI N° 616;VALPARAISO;VIÑA DEL MAR;340;16/02/2009;-33,02380842;-71,55351552;SIN RECETARIO;NO;SI
ECONOMICA;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;0001;FARMACIA PRIVADA;SANTIAGO TORRES N° 149 PUCHUNCAVI;VALPARAISO;PUCHUNCAVI;2973;17/12/2001;-32,72645346;-71,41417982;SIN RECETARIO;SI;SI
ECONOMICA;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;0002;FARMACIA PRIVADA;PILOTO ALCAYAGA  N° 1919;VALPARAISO;QUINTERO;3052;24/09/1992;-32,78568248;-71,52644643;SIN RECETARIO;SI;SI
SANA SANA;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;0002;FARMACIA PRIVADA;CONDELL 1472;VALPARAISO;VALPARAISO;1326;25/04/2012;-33,04592676;-71,62212586;SIN RECETARIO;SI;SI
ECONOMICA;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;0003;FARMACIA PRIVADA;NORMANDIE 1885;VALPARAISO;QUINTERO;2841;13/12/2002;-32,78495672;-71,52755742;SIN RECETARIO;SI;SI
FARMAXPRESS;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;0002;FARMACIA PRIVADA;AVENIDA VICUÑA MACKENA 1050;VALPARAISO;VIÑA DEL MAR;2484;22/12/2015;-32,97247234;-71,53202187;SIN RECETARIO;SI;SI
SANA SANA;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;0002;FARMACIA PRIVADA;ISIDORO DUBOURNAIS 320 EL QUISCO;VALPARAISO;EL QUISCO;258;17/02/2017;-33,39868034;-71,69438707;SIN RECETARIO;SI;NO
SANA SANA;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;0003;FARMACIA PRIVADA;AV. CENTENARIO 268, SAN ANTONIO;VALPARAISO;SAN ANTONIO;1913;22/12/1993;-33,5798869;-71,6094209;SIN RECETARIO;SI;NO
FARMACIA SANA SANA;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;01;FARMACIA PRIVADA;CALLE LUZ DIVINA Nº 1181, LOCAL 6 Y 7;VALPARAISO;ALGARROBO;1565;05/10/2020;-33,3705169;-71,6678957;SIN RECETARIO;SI;NO
SANA SANA;FARMACEUTICA EL QUISCO LTDA;77.818.250-5;FARMACEUTICA EL QUISCO LTDA;0005;FARMACIA PRIVADA;AV. CONCON REÑACA 296;VALPARAISO;CONCON;263;16/03/2021;-32,9339498;-71,5316035;SIN RECETARIO;SI;NO
HAHNEMANN;FARMACEUTICA HOCHSTETTER MERY LTDA.;78.308.740-5;FARMACEUTICA HOCHSTETTER MERY LTDA.;0001;FARMACIA PRIVADA;ARLEGUI N° 443, L - 2;VALPARAISO;VIÑA DEL MAR;3344;25/11/2004;-33,02331296;-71,55613423;INDEPENDIENTE;NO;SI
HAHNEMANN;FARMACEUTICA HOCHSTETTER MERY LTDA.;78.308.740-5;FARMACEUTICA HOCHSTETTER MERY LTDA.;6;FARMACIA PRIVADA;AVENIDA PROVIDENCIA 2195, LOCAL 5;METROPOLITANA;PROVIDENCIA;162;12/06/2015;;;CENTRALIZADO;NO;SI
CENTRAL DE HOMEOPATÍA;FARMACEUTICA HOCHSTETTER MERY LTDA.;78.308.740-5;FARMACEUTICA HOCHSTETTER MERY LTDA.;7;FARMACIA PRIVADA;AVENIDA SUECIA 3598;METROPOLITANA;ÑUÑOA;3420;18/07/2017;-33,4534826;-70,5999401;SIN RECETARIO;NO;SI
HAHNNEMAN;FARMACEUTICA HOCHSTETTER MERY LTDA.;78.308.740-5;FARMACEUTICA HOCHSTETTER MERY LTDA.;5;FARMACIA PRIVADA;Avenida Apoquindo 6210;METROPOLITANA;PROVIDENCIA;1212;16/03/2023;-33,4082291;-70,5663678;SIN RECETARIO;NO;SI
MICKMAN;FARMACÉUTICA ERNESTO MICKMAN;96.829.230-7;FARMACÉUTICA ERNESTO MICKMAN;0001;FARMACIA PRIVADA;QUILLOTA N° 423;VALPARAISO;VIÑA DEL MAR;3526;17/10/1997;-33,0186728;-71,54671026;INDEPENDIENTE;SI;SI
FARMACIA MINELY;FARMACEUTICA LITORAL LTDA;89.851.600-8;FARMACEUTICA LITORAL LTDA;02;FARMACIA PRIVADA;AV. PROVIDENCIA Nº 121;VALPARAISO;SAN ANTONIO;162;26/01/1984;-33,6114086;-71,61109373;SIN RECETARIO;SI;NO
FAMIFARMA;FARMACEUTICA PUERTO S.A.;96.631.650-0;FARMACEUTICA PUERTO S.A.;0000;FARMACIA PRIVADA;SERRANO Nº 301;VALPARAISO;VALPARAISO;1061;16/06/1992;-33,03677351;-71,63033261;SIN RECETARIO;SI;SI
FAMIFARMA;FARMACEUTICA PUERTO S.A.;96.631.650-0;FARMACEUTICA PUERTO S.A.;0001;FARMACIA PRIVADA;CALLE SIETE 685;VALPARAISO;CONCON;4641;26/12/1997;-32,92446639;-71,51642253;SIN RECETARIO;SI;SI
DR. SIMI;FARMACEUTICA UNIVERSO LTDA;76.012.431-1;FARMACEUTICA UNIVERSO LTDA;0036;FARMACIA PRIVADA;O´HIGGINS 186;VALPARAISO;QUILLOTA;1029;24/09/2008;-32,87906424;-71,24673737;SIN RECETARIO;SI;NO
MASTER;FARMACEUTICA VARGAS VARGAS LTDA;78.362.630-6;FARMACEUTICA VARGAS VARGAS LTDA;0001;FARMACIA PRIVADA;LUIS REUS Nª 273 L.4;VALPARAISO;SAN ANTONIO;1091;17/06/1993;-33,58834377;-71,6082114;SIN RECETARIO;SI;NO
DR. SIMI;FARMACIAS ACONCAGUA LTDA.;76.017.862-6;FARMACIAS ACONCAGUA LTDA.;0037;FARMACIA PRIVADA;PORTUS N° 239;VALPARAISO;SAN FELIPE;220;30/07/2008;-32,75144251;-70,72324076;SIN RECETARIO;SI;NO
DR SIMI;FARMACIAS ACONCAGUA LTDA.;76.017.862-6;FARMACIAS ACONCAGUA LTDA.;0178;FARMACIA PRIVADA;TRASLAVIÑA N°221;VALPARAISO;SAN FELIPE;35;19/01/2017;-32,75001066;-70,7270127;SIN RECETARIO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0304;FARMACIA PRIVADA;OHIGGINS 195, LOCAL 1;VALPARAISO;QUILLOTA;926;03/10/2014;-32,87934289;-71,24678715;;SI;SI
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0312;FARMACIA PRIVADA;J.J. PEREZ 202;VALPARAISO;LA CALERA;238;17/01/2007;-32,78806628;-71,18973101;;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0315;FARMACIA PRIVADA;URMENETA 99;VALPARAISO;LIMACHE;2118;12/07/2005;-32,98499218;-71,27571771;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0334;FARMACIA PRIVADA;REPUBLICA 281;VALPARAISO;LIMACHE;3546;26/11/2006;-33,00250072;-71,26549778;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0018;FARMACIA PRIVADA;CHACABUCO 281;VALPARAISO;QUILLOTA;1988;30/06/2005;-32,87833549;-71,24614189;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0184;FARMACIA PRIVADA;URMENETA 96;VALPARAISO;LIMACHE;1267;01/12/2010;-32,98533137;-71,27590831;;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0771;FARMACIA PRIVADA;PALMIRA ROMANO 405;VALPARAISO;LIMACHE;961;09/08/2011;-33,00219347;-71,26801552;;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;1132;FARMACIA PRIVADA;AV. LOS CARRERA Nº 754, PRIMER NIVEL MALL PASEO QUILPUé, LOCAL 100-102;VALPARAISO;QUILPUE;1278;02/05/2006;-33,04808847;-71,44291189;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0187;FARMACIA PRIVADA;RAMÓN FREIRE N° 2414, LOCAL 1028, BELLOTO;VALPARAISO;QUILPUE;115;29/01/2010;-33,04500952;-71,42186385;;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0336;FARMACIA PRIVADA;AV. CLAUDIO VICUÑA N° 791;VALPARAISO;QUILPUE;3900;02/12/2009;-33,04640049;-71,44254406;;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0204;FARMACIA PRIVADA;AV. FREIRE N° 471, VILLA HILTON BELLOTO;VALPARAISO;QUILPUE;3902;09/12/2009;-33,04647736;-71,40425963;;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0944;FARMACIA PRIVADA;AV. DIEGO PORTALES 551 LOCAL 9;VALPARAISO;CASABLANCA;905;26/03/2013;-33,32266321;-71,40528971;SIN RECETARIO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0160;FARMACIA PRIVADA;CABO ORTIZ N° 189;VALPARAISO;QUINTERO;2526;05/08/2009;-32,78471448;-71,52749719;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0319;FARMACIA PRIVADA;AV. VALPARAÍSO N° 664;VALPARAISO;VILLA ALEMANA;2188;19/07/2005;-33,04420185;-71,37336344;;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0343;FARMACIA PRIVADA;AV. VALPARAÍSO N° 691;VALPARAISO;VILLA ALEMANA;3024;26/08/2010;-33,04442869;-71,37423675;;SI;NO
FARMACIA CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0210;FARMACIA PRIVADA;HÉROES DE LA CONCEPCIÓN 2555 L158-160A;TARAPACA;IQUIQUE;675;01/09/1999;-20,232718;-70,142465;;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0003;FARMACIA PRIVADA;AV. VALPARAISO N° 640;VALPARAISO;VIÑA DEL MAR;1616;11/06/1986;-33,0249401;-71,55329128;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0015;FARMACIA PRIVADA;AV. VALPARAISO N° 404;VALPARAISO;VIÑA DEL MAR;2426;21/07/1997;-33,0243693;-71,55694609;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0302;FARMACIA PRIVADA;AV.LIBERTAD N° 1348 L-22;VALPARAISO;VIÑA DEL MAR;4251;15/12/1999;-33,00846991;-71,54827887;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0303;FARMACIA PRIVADA;AV. VALPARAISO N° 298;VALPARAISO;VIÑA DEL MAR;4314;24/12/1999;-33,0241566;-71,55852404;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0305;FARMACIA PRIVADA;AV.LIBERTAD  N° 825;VALPARAISO;VIÑA DEL MAR;2865;22/12/2000;-33,01390552;-71,55011555;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0308;FARMACIA PRIVADA;QUILLOTA N° 493;VALPARAISO;VIÑA DEL MAR;802;08/04/2002;-33,01813299;-71,54665192;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0316;FARMACIA PRIVADA;AV.VALPARAISO N° 598;VALPARAISO;VIÑA DEL MAR;2661;15/11/2002;-33,02482389;-71,5541228;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0318;FARMACIA PRIVADA;J.M.CARRERA  N° 201;VALPARAISO;VIÑA DEL MAR;2662;15/11/2002;-33,02755495;-71,57346841;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0321;FARMACIA PRIVADA;ANGAMOS  N° 242 L- 1;VALPARAISO;VIÑA DEL MAR;1464;01/06/2004;-32,97178189;-71,54203604;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0326;FARMACIA PRIVADA;ALVARES N° 314;VALPARAISO;VIÑA DEL MAR;877;10/03/2006;-33,02579666;-71,55857146;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0327;FARMACIA PRIVADA;AVDA. 1 NORTE Nº 2901 L- 4054;VALPARAISO;VIÑA DEL MAR;210;16/01/2006;-33,03583234;-71,52361059;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0341;FARMACIA PRIVADA;4 PONIENTE N° 332;VALPARAISO;VIÑA DEL MAR;930;03/04/1985;-33,01836505;-71,55558465;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0772;FARMACIA PRIVADA;AV. VALPARAISO 1070 L 3008;VALPARAISO;VIÑA DEL MAR;75;24/01/2012;-33,02588946;-71,54743169;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0313;FARMACIA PRIVADA;AV. PEDRO MONTT N° 2705;VALPARAISO;VALPARAISO;1127;09/07/2002;-33,04726128;-71,60793718;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0325;FARMACIA PRIVADA;AV. ARGENTINA N° 51 LOCAL N° 2003;VALPARAISO;VALPARAISO;775;16/03/2006;-33,04406194;-71,60484526;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0339;FARMACIA PRIVADA;OBISPO VALDEZ SUBERCASEAUX  N° 1170 LOCAL 6 Y 7 PLACILLA;VALPARAISO;VALPARAISO;1316;02/05/2006;-33,11870107;-71,57139983;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0340;FARMACIA PRIVADA;AV. CARDENAL SAMORE Nº2335 LOCAL 1862 PLACILLA;VALPARAISO;VALPARAISO;4076;15/11/2006;-33,13081947;-71,56526993;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0009;FARMACIA PRIVADA;AV. PEDRO MONTT 1902;VALPARAISO;VALPARAISO;1061;07/07/1998;-33,04706281;-71,61697787;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0338;FARMACIA PRIVADA;AV. CARLOS ALESSANDRI Nº 1915 - 1923;VALPARAISO;ALGARROBO;281;21/01/2008;-33,3610508;-71,66588216;CENTRALIZADO;SI;NO
CRUZ VERDE;CRUZ VERDE;89.807.200-2;FARMACIAS CRUZ VERDE S.P.A.;0766;FARMACIA PRIVADA;AV. IGNACIO CARRERA PINTO ESQUINA DR. GUILLERMO MÜCKE;VALPARAISO;ALGARROBO;3978;27/10/2011;-33,36908549;-71,66916826;CENTRALIZADO;SI;NO
