Región;Número de Región;Comuna;Establecimiento;Teléfono;Pertenecencia;Dirección
De Tarapacá;I;Iquique;Vacunatorio Sonrisa Infantil;572420708;No Perteneciente;Calle Aníbal Pinto 1011
De Tarapacá;I;Alto Hospicio;Centro Médico y Dental Megasalud Alto Hospicio;572361245;No Perteneciente;Calle Chaca 3058
De Tarapacá;I;Iquique;Vacunatorio Vacumed;572514121;No Perteneciente;Avenida Arturo Prat 1170
De Tarapacá;I;Iquique;Centro de Salud Universidad Arturo Prat;572394745;No Perteneciente;Avenida Arturo Prat 2120
De Tarapacá;I;Iquique;Laboratorio Clínico Bionet;572421789;No Perteneciente;Calle San Martín 385
De Tarapacá;I;Iquique;Laboratorio Clínico Automatizado Elmo;572412599;No Perteneciente;Calle Vivar 1229
De Tarapacá;I;Iquique;Laboratorio Clínico Automatizado Biogénesis;572418759;No Perteneciente;Calle Orella 769
De Tarapacá;I;Iquique;Clinicum Laboratorio Automatizado Ltda.;572496331;No Perteneciente;Calle Esmeralda 731
De Tarapacá;I;Iquique;Centro de Diálisis Medicen;572322175;No Perteneciente;Avenida Tadeo Haenke 1934
De Tarapacá;I;Iquique;Centro de Diálisis Iquique;572422242;No Perteneciente;Calle Orella 1677
De Tarapacá;I;Iquique;Centro de Diálisis Corporación Paúl Harris;572431880;No Perteneciente;Calle Armada de Chile 2110
De Tarapacá;I;Iquique;Laboratorio Clínico Iquilab;572391242;No Perteneciente;Calle Latorre con Obispo Labbé 800
De Tarapacá;I;Iquique;Laboratorio Clínico Playa Brava;572393544;No Perteneciente;Calle José Francisco Vergara 3327
De Tarapacá;I;Alto Hospicio;Laboratorio Clínico del Norte;572434899;No Perteneciente;Avenida Ramón Pérez Opazo 3154
De Tarapacá;I;Iquique;Laboratorio Clínico OASIS S.A.C.;572423022;No Perteneciente;Calle Riquelme 777
De Tarapacá;I;Iquique;Laboratorio Clínico Wallace Ltda.;572214743;No Perteneciente;Calle Latorre 973
De Tarapacá;I;Iquique;Centro de Diálisis la Tirana;572447964;No Perteneciente;Avenida La Tirana 3095
De Tarapacá;I;Iquique;Laboratorio Clínico Costanera;572332877;No Perteneciente;Calle Pedro Lagos 1090
De Tarapacá;I;Iquique;Laboratorio Clínico Arauco Ltda.;572415240;No Perteneciente;Calle Ramírez 1246
De Tarapacá;I;Iquique;Centro de Salud Familiar Cirujano Aguirre;800500105;Perteneciente;
De Tarapacá;I;Iquique;Centro de Salud Familiar Cirujano Videla;800500107;Perteneciente;
De Tarapacá;I;Iquique;Centro de Salud Familiar Cirujano Guzmán;800500106;Perteneciente;Avenida Pedro Prado 2763
De Tarapacá;I;Pozo Almonte;Centro de Salud Familiar Pozo Almonte;572761214;Perteneciente;Calle Balmaceda 276
De Tarapacá;I;Pica;Centro de Salud Familiar Dr. Juan Márquez Vismarra;572741306;Perteneciente;
De Tarapacá;I;Alto Hospicio;Centro de Salud Familiar Pedro Pulgar Melgarejo;800500108;Perteneciente;
De Tarapacá;I;Iquique;Centro de Salud Familiar Sur de Iquique;800500109;Perteneciente;
De Tarapacá;I;Alto Hospicio;Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez;;Perteneciente;Calle Naciones Unidas 3080
De Tarapacá;I;Huara;Centro de Salud Familiar Dr. Amador Neghme Rodríguez;;Perteneciente;
De Tarapacá;I;Camiña;Centro de Salud Familiar Camiña;;Perteneciente;
De Tarapacá;I;Colchane;Centro de Salud Familiar Colchane;;Perteneciente;
De Tarapacá;I;Huara;Posta de Salud Rural Pisagua;;Perteneciente;
De Tarapacá;I;Huara;Posta de Salud Rural Huara;;Perteneciente;
De Tarapacá;I;Huara;Posta de Salud Rural Tarapacá;;Perteneciente;
De Tarapacá;I;Pozo Almonte;Posta de Salud Rural Mamiña;;Perteneciente;
De Tarapacá;I;Camiña;Posta de Salud Rural Camiña;;Perteneciente;
De Tarapacá;I;Colchane;Posta de Salud Rural Colchane;;Perteneciente;
De Tarapacá;I;Pozo Almonte;Posta de Salud Rural La Tirana;;Perteneciente;
De Tarapacá;I;Huara;Posta de Salud Rural Chiapa;;Perteneciente;
De Tarapacá;I;Camiña;Posta de Salud Rural Moquella;;Perteneciente;
De Tarapacá;I;Colchane;Posta de Salud Rural Enquelga;;Perteneciente;
De Tarapacá;I;Huara;Posta de Salud Rural Sibaya;;Perteneciente;
De Tarapacá;I;Pica;Posta de Salud Rural Cancosa;;Perteneciente;
De Tarapacá;I;Iquique;Posta de Salud Rural Chanavayita;;Perteneciente;
De Tarapacá;I;Iquique;Posta de Salud Rural San Marcos;;Perteneciente;
De Tarapacá;I;Pozo Almonte;Posta de Salud Rural La Huayca;;Perteneciente;
De Tarapacá;I;Colchane;Posta de Salud Rural Cariquima;;Perteneciente;
De Tarapacá;I;Pica;Posta de Salud Rural Matilla;;Perteneciente;
De Tarapacá;I;Iquique;COSAM Dr. Jorge Seguel Cáceres;572613668;Perteneciente;Calle Serrano 493
De Tarapacá;I;Iquique;COSAM Salvador Allende;;Perteneciente;
De Tarapacá;I;Alto Hospicio;COSAM Enrique París;573079321;Perteneciente;
De Tarapacá;I;Iquique;Centro Comunitario de Salud Familiar Cerro Esmeralda;;Perteneciente;
De Tarapacá;I;Alto Hospicio;Centro Comunitario de Salud Familiar El Boro;572406750;Perteneciente;
De Tarapacá;I;Iquique;SAPU Cirujano Aguirre;572573568;Perteneciente;
De Tarapacá;I;Iquique;SAPU Cirujano Videla;572329704;Perteneciente;
De Tarapacá;I;Iquique;SAPU Cirujano Guzmán;572573574;Perteneciente;Avenida Pedro Prado 2736
De Tarapacá;I;Pozo Almonte;SAPU Pozo Almonte;572406767;Perteneciente;
De Tarapacá;I;Alto Hospicio;SAPU Pedro Pulgar Melgarejo;562581636;Perteneciente;Calle Teniente Merino 3101
De Tarapacá;I;Iquique;SAR Sur de Iquique;572536836;Perteneciente;
De Tarapacá;I;Alto Hospicio;SAPU El Boro;562581636;Perteneciente;Calle Salitrera Domeyko 2765
De Tarapacá;I;Alto Hospicio;Laboratorio Clínico Wallace SpA.;;No Perteneciente;Avenida Ramón Pérez Opazo 3168
De Tarapacá;I;Huara;Posta de Salud Rural Pachica;;Perteneciente;
De Tarapacá;I;Alto Hospicio;Laboratorio Clínico TREZ-000;;No Perteneciente;Calle Chaca Local 1, Piso 2 3058
De Tarapacá;I;Iquique;Laboratorio Clínico de Nueva Clínica Tarapacá;572421566;No Perteneciente;Calle Barros Arana 1550
De Tarapacá;I;Iquique;Instituto de Rehabilitación Infantil TELETÓN (Iquique);572588888;No Perteneciente;Calle José Joaquín Pérez 999
De Tarapacá;I;Alto Hospicio;Centro Comunitario de Salud Familiar La Tortuga;;Perteneciente;Calle Santa Rosa 3355
De Antofagasta;II;Calama;Vacunatorio y Sala de Procedimientos Daniela Alvarez;87611957;No Perteneciente;Calle Cobija, Oficina 302 2191
De Antofagasta;II;Calama;SAR Alemania;556100;Perteneciente;Calle Frei Bonn 2624
De Antofagasta;II;Antofagasta;Laboratorio Clínico Atenea;;No Perteneciente;Calle Orella, Oficinas 401 y 402 610
De Antofagasta;II;Calama;Centro Comunitario de Salud Familiar Oasis;552557310;Perteneciente;Avenida Vasco de Gama, Población Nueva Alemania 3780
De Antofagasta;II;Antofagasta;Instituto de Rehabilitación Infantil TELETÓN (Antofagasta);552683100;No Perteneciente;
De Antofagasta;II;Antofagasta;Laboratorio Clínico Kausay;552241028;No Perteneciente;Avenida Bernardo O'Higgins, Oficina 1202 1338
De Antofagasta;II;Antofagasta;Policlínico Gendarmería Regional de Antofagasta;552897184;No Perteneciente;Calle Barón de la Riviere 1030
De Antofagasta;II;Antofagasta;COSAM Norte;657330;Perteneciente;Calle Benito Ocampo, Jardines del Norte 10506
De Antofagasta;II;Antofagasta;Vacunatorio Minimed;988646617;No Perteneciente;Calle Galleguillos Lorca, sala 2 1350
De Antofagasta;II;Antofagasta;Laboratorio Clínico Austral;982591593;No Perteneciente;Calle Eduardo Orchard, interior centro Médico SASEVI 1351
De Antofagasta;II;Antofagasta;Centro Oncológico del Norte (CON);;Perteneciente;Calle Los Pumas, sector Chimba Alto 10255
De Antofagasta;II;Calama;Instituto de Rehabilitación Infantil TELETÓN (Calama);552695400;No Perteneciente;Calle Teniente Merino 3551
De Antofagasta;II;Antofagasta;Centro de Salud Familiar Valdivieso;;Perteneciente;Calle Cerro Pedregal 8755
De Antofagasta;II;Antofagasta;Laboratorio Clínico Lavoisier;552893523;No Perteneciente;Calle Maipú 889
De Antofagasta;II;Antofagasta;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Antofagasta);;Perteneciente;Calle Bolívar 523
De Antofagasta;II;Antofagasta;PRAIS (S.S Antofagasta);;Perteneciente;Calle Bolívar 523
De Antofagasta;II;Antofagasta;Clínica Dental Móvil Simple. Pat. PW4072 (Antofagasta);;Perteneciente;Calle Bolívar 523
De Antofagasta;II;Antofagasta;Clínica Dental Móvil Triple. Pat. BBZV82 (Antofagasta);552655434;Perteneciente;Calle Bolívar 523
De Antofagasta;II;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);552204648;Perteneciente;Avenida Argentina 1964
De Antofagasta;II;Calama;Hospital Dr. Carlos Cisternas (Calama);552655700;Perteneciente;Avenida Grau 1490
De Antofagasta;II;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);552654560;Perteneciente;
De Antofagasta;II;Taltal;Hospital 21 de Mayo (Taltal);552656300;Perteneciente;Calle O'Higgins 450
De Antofagasta;II;Mejillones;Hospital de Mejillones;552655250;Perteneciente;Avenida Bernardo O'Higgins 451
De Antofagasta;II;Antofagasta;Centro Oncológico Ambulatorio;552655909;Perteneciente;Calle Los Pumas 10255
De Antofagasta;II;Maria Elena;Hospital Cruz del Norte;552413700;No Perteneciente;
De Antofagasta;II;Antofagasta;Clínica Antofagasta;552208201;No Perteneciente;Calle Matta 1945
De Antofagasta;II;Antofagasta;Hospital Militar del Norte;552353000;No Perteneciente;Avenida Borgoño 957
De Antofagasta;II;Calama;Clínica Mutual de Seguridad CChC de Calama;552332309;No Perteneciente;Avenida Central Sur 1813
De Antofagasta;II;Antofagasta;Clínica Baquedano;552208210;No Perteneciente;Calle Baquedano 298
De Antofagasta;II;Antofagasta;Clínica Urológica;552263540;No Perteneciente;Calle Sucre 453
De Antofagasta;II;Antofagasta;Clínica Oriente;552247799;No Perteneciente;Calle Talca 861
De Antofagasta;II;Tocopilla;Clínica Mutual de Seguridad CChC Tocopilla;552811140;No Perteneciente;Calle 21 de Mayo 1201
De Antofagasta;II;Calama;Clínica El Loa;552363737;No Perteneciente;Calle Granaderos 2924
De Antofagasta;II;Calama;Hospital del Cobre Salvador Allende;552320112;No Perteneciente;Avenida Chorrillos 689
De Antofagasta;II;Antofagasta;Clínica La Portada;552694277;No Perteneciente;Calle Balmaceda 2648
De Antofagasta;II;Calama;Laboratorio Clínico Calama;552344799;No Perteneciente;Calle Madame Curie 2312
De Antofagasta;II;Antofagasta;Clínica Oftalmológica (Mas Visión);552264006;No Perteneciente;Calle Condell 1973
De Antofagasta;II;Antofagasta;Clínica Cumbres del Norte S.A.;552450600;No Perteneciente;Calle San Martín 2447
De Antofagasta;II;Calama;Centro Médico y Dental Megasalud Calama;552312103;No Perteneciente;Avenida Granaderos 1474
De Antofagasta;II;Antofagasta;Centro Médico y Dental Megasalud Antofagasta;552410590;No Perteneciente;Calle Suecia 251
De Antofagasta;II;Antofagasta;Centro de Salud Mutual CChC Antofagasta;552251802;No Perteneciente;Calle Balmaceda 2634
De Antofagasta;II;Antofagasta;Policlínico del Trabajador AChS Antofagasta;552355200;No Perteneciente;Avenida Grecia 840
De Antofagasta;II;Antofagasta;Centro Médico Norte;552292134;No Perteneciente;Avenida Pedro Aguirre Cerda 8367
De Antofagasta;II;Antofagasta;Consultorio Bautista;552232041;No Perteneciente;Calle Paihuano 1119
De Antofagasta;II;Antofagasta;Laboratorio Clínico Ehrlich;552382540;No Perteneciente;Calle San Martín 2390
De Antofagasta;II;Antofagasta;Policlínico Mantos Blancos;552259852;No Perteneciente;Avenida O'Higgins 1964
De Antofagasta;II;Calama;Centro de Salud Victoria Saravia Crespo;552311388;No Perteneciente;Calle Cobija 2141
De Antofagasta;II;Calama;Centro de Salud Aidoret Caro;552346945;No Perteneciente;Calle Cobija 2188
De Antofagasta;II;Antofagasta;Centro de Salud Clinisan;552260810;No Perteneciente;Calle Maipú 898
De Antofagasta;II;Antofagasta;Centro de Salud Sanymed;552494193;No Perteneciente;Calle Coquimbo 712
De Antofagasta;II;Calama;Clínica de la Familia El Loa;552424803;No Perteneciente;Calle Juan Bautista Herrada 1631
De Antofagasta;II;Antofagasta;Sociedad Diálisis Nordial Ltda.;552268824;No Perteneciente;Calle Matías Rojas 1376
De Antofagasta;II;Antofagasta;Centro Médico y Dental Zona Antofagasta;552755303;No Perteneciente;Calle Aníbal Pinto 3471
De Antofagasta;II;Calama;Consultorio Prefectura de El Loa;552755125;No Perteneciente;Calle Chorrillos 922
De Antofagasta;II;Antofagasta;Policlínico Instituto de Seguridad del Trabajo;552254812;No Perteneciente;Calle Orella 679
De Antofagasta;II;Calama;Laboratorio Diagnos;552531452;No Perteneciente;Calle Vicuña Mackenna 1974
De Antofagasta;II;Calama;Laboratorio High Clinic;552941647;No Perteneciente;Calle Granaderos 2683
De Antofagasta;II;Calama;Laboratorio Tecmed Ltda.;552345680;No Perteneciente;Calle Cobija 2191
De Antofagasta;II;Antofagasta;Laboratorio Histonor;552556511;No Perteneciente;Avenida Argentina 1609
De Antofagasta;II;Antofagasta;Laboratorio Diagnolab (Antofagasta);552564024;No Perteneciente;Calle Sucre 251
De Antofagasta;II;Antofagasta;Laboratorio Luis Pasteur;552263604;No Perteneciente;Calle 14 de Febrero 2556
De Antofagasta;II;Antofagasta;Laboratorio Bionet;552626281;No Perteneciente;Calle Prat 1168
De Antofagasta;II;Antofagasta;Laboratorio Clinilab (Antofagasta);552383063;No Perteneciente;Calle General Velásquez 1285
De Antofagasta;II;Antofagasta;Laboratorio Clínico Blanco;552458605;No Perteneciente;Calle Matta 1839
De Antofagasta;II;Antofagasta;Laboratorio Radiolab;552226384;No Perteneciente;Avenida Bernardo O'Higgins 1974
De Antofagasta;II;Antofagasta;Doctor'Lab. Ltda.;552557681;No Perteneciente;Calle Condell 2782
De Antofagasta;II;Calama;Centro de Diálisis Calama;552833148;No Perteneciente;Calle Carcote 1825
De Antofagasta;II;Antofagasta;Clínica de Diálisis TECDIAL Ltda.;552555211;No Perteneciente;Calle Los Limoneros 223
De Antofagasta;II;Antofagasta;Laboratorio Clínico Labclin;552449426;No Perteneciente;Calle San Martín 2477
De Antofagasta;II;Antofagasta;Laboratorio Dipreca;552260552;No Perteneciente;Calle Latorre 2356
De Antofagasta;II;Antofagasta;Laboratorio Clínico Galeno;552288915;No Perteneciente;Calle Coquimbo 712
De Antofagasta;II;Antofagasta;Laboratorio Clínico Madison EIRL;552258838;No Perteneciente;Avenida Grecia 1849
De Antofagasta;II;Calama;Laboratorio Clínico Salumed;552833235;No Perteneciente;Calle Cobija 2188
De Antofagasta;II;Calama;Laboratorio Clínico Diagnolab;552455600;No Perteneciente;Calle Granaderos 1474
De Antofagasta;II;Calama;Laboratorio Clínico Blanco;552344584;No Perteneciente;Avenida Granaderos 3251
De Antofagasta;II;Calama;Laboratorio Clínico COMDES;552654420;Perteneciente;Calle Bañados Espinoza 1850
De Antofagasta;II;Antofagasta;Laboratorio Sarita Núñez;552279731;Perteneciente;Calle Cristóbal Colón 5262
De Antofagasta;II;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;;Perteneciente;
De Antofagasta;II;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);552656038;Perteneciente;Avenida Rendic 6071
De Antofagasta;II;Antofagasta;Centro de Salud Familiar Corvallis;552656910;Perteneciente;Avenida Salvado Allende 1370
De Antofagasta;II;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;552331110;Perteneciente;Pasaje Niebla 850
De Antofagasta;II;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;552656800;Perteneciente;
De Antofagasta;II;Calama;Centro de Salud Familiar Central de Calama;552656050;Perteneciente;
De Antofagasta;II;Calama;Centro de Salud Familiar Montt;552656650;Perteneciente;Avenida Granaderos 3968
De Antofagasta;II;Calama;Centro de Salud Familiar Alemania de Calama;552656891;Perteneciente;Calle Colonia 2611
De Antofagasta;II;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;552655100;Perteneciente;
De Antofagasta;II;Maria Elena;Centro de Salud Familiar María Elena;552265332;Perteneciente;
De Antofagasta;II;San Pedro de Atacama;Centro de Salud Familiar San Pedro Atacama;;Perteneciente;
De Antofagasta;II;Calama;Centro de Salud Familiar Norponiente;552654441;Perteneciente;Calle Luis Emilio Recabarren 3825
De Antofagasta;II;Antofagasta;Centro Asistencial Norte (CAN);552554000;Perteneciente;Calle Los Pumas 10255
De Antofagasta;II;Sierra Gorda;Posta de Salud Rural Baquedano;;Perteneciente;Calle Salvador Allende 112
De Antofagasta;II;Sierra Gorda;Posta de Salud Rural Sierra Gorda;;Perteneciente;Calle Salvador Allende 211
De Antofagasta;II;San Pedro de Atacama;Posta de Salud Rural Toconao;;Perteneciente;
De Antofagasta;II;San Pedro de Atacama;Posta de Salud Rural Peine;;Perteneciente;
De Antofagasta;II;San Pedro de Atacama;Posta de Salud Rural Socaire;;Perteneciente;
De Antofagasta;II;Calama;Posta de Salud Rural Caspana;;Perteneciente;
De Antofagasta;II;Ollagüe;Posta de Salud Rural Ollagüe;;Perteneciente;
De Antofagasta;II;Calama;Posta de Salud Rural Ayquina;;Perteneciente;Calle San Roque 321
De Antofagasta;II;Calama;Posta de Salud Rural Chiu-Chiu;;Perteneciente;
De Antofagasta;II;Maria Elena;Posta de Salud Rural Quillagua (María Elena);;Perteneciente;
De Antofagasta;II;Taltal;Posta de Salud Rural Paposo;;Perteneciente;
De Antofagasta;II;San Pedro de Atacama;Estación de Salud Rural Río Grande;;Perteneciente;
De Antofagasta;II;Calama;COSAM Calama;552654015;Perteneciente;Avenida Argentina 2610
De Antofagasta;II;Antofagasta;COSAM Sur de Antofagasta;552841592;Perteneciente;Calle Antonio Varas 1222
De Antofagasta;II;Antofagasta;COSAM Central;552654893;Perteneciente;Avenida Rendic 6071
De Antofagasta;II;Tocopilla;Policlínico Asociación Chilena de Seguridad AChS Tocopilla;;No Perteneciente;Calle Arturo Prat 1198
De Antofagasta;II;Calama;Policíinico Asociación Chilena de Seguridad AChS Calama;;No Perteneciente;Calle Granaderos 2924
